Scenario - SSVEP
Logfile written - 11/02/2020 11:41:20

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

MT_Pilot	2	Response	1	734567	673017	1
MT_Pilot	3	Picture	Pic1:3:grating2_cont4_or1,grating2_cont1_or1, fix:1	750555	0	1	4504	3	0	next	other	0
MT_Pilot	3	Picture	Pic2:123:grating2_cont4_or1,grating2_cont1_or1, fix:3	755059	4504	2	1502	3	4340	next	other	0
MT_Pilot	3	Picture	Pic3:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	756561	6006	1	1501	3	5690	next	other	0
MT_Pilot	3	Picture	Pic4:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	758062	7507	2	1502	3	7040	next	other	0
MT_Pilot	3	Picture	Pic5:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	759564	9009	1	1501	2	8390	next	other	0
MT_Pilot	3	Picture	Pic6:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	761065	10510	1	1502	2	9740	next	other	0
MT_Pilot	3	Picture	Pic7:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	762567	12012	1	1501	2	11090	next	other	0
MT_Pilot	3	Picture	Pic8:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	764068	13513	1	1502	2	12440	next	other	0
MT_Pilot	3	Picture	Pic9:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	765570	15015	1	1501	2	13790	next	other	0
MT_Pilot	3	Picture	Pic10:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	767071	16516	1	1501	3	15140	next	other	0
MT_Pilot	3	Picture	Pic11:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	768572	18017	2	1502	3	16490	next	other	0
MT_Pilot	3	Picture	Pic12:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	770074	19519	1	1501	3	17840	next	other	0
MT_Pilot	3	Picture	Pic13:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	771575	21020	2	1502	3	19190	next	other	0
MT_Pilot	3	Picture	Pic14:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	773077	22522	1	1501	3	20540	next	other	0
MT_Pilot	3	Picture	Pic15:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	774578	24023	2	1502	3	21890	next	other	0
MT_Pilot	3	Picture	Pic16:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	776080	25525	1	1501	3	23240	next	other	0
MT_Pilot	3	Picture	Pic17:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	777581	27026	2	1502	3	24590	next	other	0
MT_Pilot	3	Picture	Pic18:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	779083	28528	1	1501	2	25940	next	other	0
MT_Pilot	3	Picture	Pic19:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	780584	30029	1	1502	2	27290	next	other	0
MT_Pilot	3	Picture	Pic20:4:grating2_cont4_or1,grating2_cont1_or1, fix:1	782086	31531	1	2836	2	28640	next	other	0
MT_Pilot	4	Picture	Pic1:3:grating1_cont2_or2,grating0, fix:1	799269	0	1	4504	3	0	next	other	0
