Scenario - SSVEP
Logfile written - 12/19/2023 13:19:04

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

S1012661	2	Response	1	408580	347806	1
S1012661	3	Picture	Pic1:3:grating1_cont4_or1,grating0, fix:1	424856	0	1	4514	1	0	next	other	0
S1012661	3	Picture	Pic2:130:grating1_cont4_or1,grating0, fix:3	429370	4514	1	1528	1	4340	next	other	0
S1012661	3	Picture	Pic3:0:grating1_cont4_or1,grating0, fix:1	430897	6041	1	1528	1	5690	next	other	0
S1012661	3	Picture	Pic4:0:grating1_cont4_or1,grating0, fix:1	432425	7569	1	1528	1	7040	next	other	0
S1012661	3	Picture	Pic5:0:grating1_cont4_or1,grating0, fix:1	433953	9097	1	1528	1	8390	next	other	0
S1012661	3	Picture	Pic6:0:grating1_cont4_or1,grating0, fix:1	435480	10625	1	1528	1	9740	next	other	0
S1012661	3	Picture	Pic7:0:grating1_cont4_or1,grating0, fix:1	437008	12152	1	1528	1	11090	next	other	0
S1012661	3	Picture	Pic8:0:grating1_cont4_or1,grating0, fix:1	438536	13680	1	1528	1	12440	next	other	0
S1012661	3	Picture	Pic9:0:grating1_cont4_or1,grating0, fix:1	440064	15208	1	1528	1	13790	next	other	0
S1012661	3	Picture	Pic10:0:grating1_cont4_or1,grating0, fix:1	441591	16735	1	1528	1	15140	next	other	0
S1012661	3	Picture	Pic11:0:grating1_cont4_or1,grating0, fix:1	443119	18263	1	1528	1	16490	next	other	0
S1012661	3	Picture	Pic12:0:grating1_cont4_or1,grating0, fix:1	444647	19791	1	1528	1	17840	next	other	0
S1012661	3	Picture	Pic13:0:grating1_cont4_or1,grating0, fix:1	446174	21319	1	1528	1	19190	next	other	0
S1012661	3	Picture	Pic14:5:grating1_cont4_or1,grating0, fix:2	447702	22846	1	1528	1	20540	next	other	0
S1012661	3	Picture	Pic15:0:grating1_cont4_or1,grating0, fix:1	449230	24374	1	1528	1	21890	next	other	0
S1012661	3	Picture	Pic16:0:grating1_cont4_or1,grating0, fix:1	450758	25902	1	1528	1	23240	next	other	0
S1012661	3	Picture	Pic17:0:grating1_cont4_or1,grating0, fix:1	452285	27429	1	1528	1	24590	next	other	0
S1012661	3	Picture	Pic18:0:grating1_cont4_or1,grating0, fix:1	453813	28957	1	1528	1	25940	next	other	0
S1012661	3	Picture	Pic19:0:grating1_cont4_or1,grating0, fix:1	455341	30485	1	1528	1	27290	next	other	0
S1012661	3	Picture	Pic20:4:grating1_cont4_or1,grating0, fix:1	456868	32013	1	2361	1	28640	next	other	0
S1012661	4	Picture	Pic1:3:grating2_cont4_or1,grating2_cont1_or1, fix:1	474715	0	1	5833	1	0	next	other	0
S1012661	4	Picture	Pic2:31:grating2_cont4_or1,grating2_cont1_or1, fix:3	480548	5833	1	1389	1	5790	next	other	0
S1012661	4	Picture	Pic3:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	481937	7222	1	1389	1	7140	next	other	0
S1012661	4	Picture	Pic4:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	483326	8611	1	1389	1	8490	next	other	0
S1012661	4	Picture	Pic5:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	484714	10000	1	1389	1	9840	next	other	0
S1012661	4	Picture	Pic6:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	486103	11388	1	1389	1	11190	next	other	0
S1012661	4	Picture	Pic7:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	487492	12777	1	1458	1	12540	next	other	0
S1012661	4	Picture	Pic8:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	488950	14236	1	1389	1	13890	next	other	0
S1012661	4	Picture	Pic9:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	490339	15624	1	1389	1	15240	next	other	0
S1012661	4	Picture	Pic10:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	491728	17013	1	1389	1	16590	next	other	0
S1012661	4	Picture	Pic11:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	493117	18402	1	1389	1	17940	next	other	0
S1012661	4	Picture	Pic12:5:grating2_cont4_or1,grating2_cont1_or1, fix:2	494506	19791	1	1389	1	19290	next	other	0
S1012661	4	Picture	Pic13:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	495895	21180	1	1389	1	20640	next	other	0
S1012661	4	Picture	Pic14:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	497283	22569	1	1389	1	21990	next	other	0
S1012661	4	Picture	Pic15:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	498672	23957	1	1389	1	23340	next	other	0
S1012661	4	Picture	Pic16:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	500061	25346	1	1389	1	24690	next	other	0
S1012661	4	Picture	Pic17:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	501450	26735	1	1389	1	26040	next	other	0
S1012661	4	Picture	Pic18:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	502839	28124	1	1389	1	27390	next	other	0
S1012661	4	Picture	Pic19:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	504227	29513	1	1389	1	28740	next	other	0
S1012661	4	Picture	Pic20:4:grating2_cont4_or1,grating2_cont1_or1, fix:1	505616	30901	1	4930	1	30090	next	other	0
S1012661	5	Picture	Pic1:3:grating1_cont4_or1,grating0, fix:1	525615	0	1	4097	1	0	next	other	0
S1012661	5	Picture	Pic2:30:grating1_cont4_or1,grating0, fix:3	529713	4097	1	1389	1	4060	next	other	0
S1012661	5	Picture	Pic3:0:grating1_cont4_or1,grating0, fix:1	531101	5486	1	1389	1	5410	next	other	0
S1012661	5	Picture	Pic4:0:grating1_cont4_or1,grating0, fix:1	532490	6875	1	1389	1	6760	next	other	0
S1012661	5	Picture	Pic5:0:grating1_cont4_or1,grating0, fix:1	533879	8264	1	1389	1	8110	next	other	0
S1012661	5	Picture	Pic6:0:grating1_cont4_or1,grating0, fix:1	535268	9653	1	1389	1	9460	next	other	0
S1012661	5	Picture	Pic7:0:grating1_cont4_or1,grating0, fix:1	536657	11041	1	1458	1	10810	next	other	0
S1012661	5	Picture	Pic8:0:grating1_cont4_or1,grating0, fix:1	538115	12500	1	1389	1	12160	next	other	0
S1012661	5	Picture	Pic9:0:grating1_cont4_or1,grating0, fix:1	539504	13888	1	1389	1	13510	next	other	0
S1012661	5	Picture	Pic10:0:grating1_cont4_or1,grating0, fix:1	540893	15277	1	1389	1	14860	next	other	0
S1012661	5	Picture	Pic11:0:grating1_cont4_or1,grating0, fix:1	542281	16666	1	1389	1	16210	next	other	0
S1012661	5	Picture	Pic12:0:grating1_cont4_or1,grating0, fix:1	543670	18055	1	1389	1	17560	next	other	0
S1012661	5	Picture	Pic13:0:grating1_cont4_or1,grating0, fix:1	545059	19444	1	1389	1	18910	next	other	0
S1012661	5	Picture	Pic14:0:grating1_cont4_or1,grating0, fix:1	546448	20833	1	1389	1	20260	next	other	0
S1012661	5	Picture	Pic15:5:grating1_cont4_or1,grating0, fix:2	547837	22221	1	1389	1	21610	next	other	0
S1012661	5	Picture	Pic16:0:grating1_cont4_or1,grating0, fix:1	549226	23610	1	1389	1	22960	next	other	0
S1012661	5	Picture	Pic17:0:grating1_cont4_or1,grating0, fix:1	550614	24999	1	1389	1	24310	next	other	0
S1012661	5	Picture	Pic18:0:grating1_cont4_or1,grating0, fix:1	552003	26388	1	1389	1	25660	next	other	0
S1012661	5	Picture	Pic19:0:grating1_cont4_or1,grating0, fix:1	553392	27777	1	1389	1	27010	next	other	0
S1012661	5	Picture	Pic20:4:grating1_cont4_or1,grating0, fix:1	554781	29166	1	4930	1	28360	next	other	0
S1012661	6	Picture	Pic1:3:grating2_cont5_or2,grating2_cont1_or2, fix:1	573044	0	1	5069	1	0	next	other	0
S1012661	6	Picture	Pic2:129:grating2_cont5_or2,grating2_cont1_or2, fix:3	578113	5069	1	1389	1	5030	next	other	0
S1012661	6	Picture	Pic3:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	579502	6458	1	1389	1	6380	next	other	0
S1012661	6	Picture	Pic4:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	580891	7847	1	1389	1	7730	next	other	0
S1012661	6	Picture	Pic5:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	582280	9236	1	1389	1	9080	next	other	0
S1012661	6	Picture	Pic6:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	583669	10625	1	1389	1	10430	next	other	0
S1012661	6	Picture	Pic7:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	585057	12013	1	1458	1	11780	next	other	0
S1012661	6	Picture	Pic8:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	586516	13472	1	1389	1	13130	next	other	0
S1012661	6	Picture	Pic9:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	587905	14861	1	1389	1	14480	next	other	0
S1012661	6	Picture	Pic10:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	589293	16249	1	1389	1	15830	next	other	0
S1012661	6	Picture	Pic11:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	590682	17638	1	1389	1	17180	next	other	0
S1012661	6	Picture	Pic12:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	592071	19027	1	1389	1	18530	next	other	0
S1012661	6	Picture	Pic13:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	593460	20416	1	1389	1	19880	next	other	0
S1012661	6	Picture	Pic14:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	594849	21805	1	1389	1	21230	next	other	0
S1012661	6	Picture	Pic15:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	596238	23193	1	1389	1	22580	next	other	0
S1012661	6	Picture	Pic16:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	597626	24582	1	1389	1	23930	next	other	0
S1012661	6	Picture	Pic17:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	599015	25971	1	1389	1	25280	next	other	0
S1012661	6	Picture	Pic18:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	600404	27360	1	1389	1	26630	next	other	0
S1012661	6	Picture	Pic19:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	601793	28749	1	1389	1	27980	next	other	0
S1012661	6	Picture	Pic20:4:grating2_cont5_or2,grating2_cont1_or2, fix:1	603182	30138	1	4930	1	29330	next	other	0
S1012661	7	Picture	Pic1:3:grating2_cont2_or2,grating2_cont1_or2, fix:1	624847	0	1	5347	1	0	next	other	0
S1012661	7	Picture	Pic2:26:grating2_cont2_or2,grating2_cont1_or2, fix:3	630195	5347	1	1389	1	5310	next	other	0
S1012661	7	Picture	Pic3:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	631583	6736	1	1389	1	6660	next	other	0
S1012661	7	Picture	Pic4:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	632972	8125	1	1389	1	8010	next	other	0
S1012661	7	Picture	Pic5:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	634361	9514	1	1389	1	9360	next	other	0
S1012661	7	Picture	Pic6:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	635750	10902	1	1389	1	10710	next	other	0
S1012661	7	Picture	Pic7:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	637139	12291	1	1458	1	12060	next	other	0
S1012661	7	Picture	Pic8:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	638597	13749	1	1389	1	13410	next	other	0
S1012661	7	Picture	Pic9:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	639986	15138	1	1389	1	14760	next	other	0
S1012661	7	Picture	Pic10:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	641375	16527	1	1389	1	16110	next	other	0
S1012661	7	Picture	Pic11:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	642763	17916	1	1389	1	17460	next	other	0
S1012661	7	Picture	Pic12:0:grating2_cont2_or2,grating2_cont1_or2, fix:1	644152	19305	1	1389	1	18810	next	other	0
