Scenario - SSVEP
Logfile written - 09/15/2022 12:34:17

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

S6002165'	1	Response	1	28512	17523	1
S6002165'	2	Response	1	144752	83695	1
S6002165'	3	Picture	Pic1:3:grating2_cont1_or2,grating2_cont1_or2, fix:1	157929	0	1	4583	1	0	next	other	0
S6002165'	3	Picture	Pic2:25:grating2_cont1_or2,grating2_cont1_or2, fix:3	162512	4583	1	1528	1	4400	next	other	0
S6002165'	3	Picture	Pic3:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	164040	6111	1	1528	1	5750	next	other	0
S6002165'	3	Picture	Pic4:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	165568	7639	1	1528	1	7100	next	other	0
S6002165'	3	Picture	Pic5:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	167095	9166	1	1528	1	8450	next	other	0
S6002165'	3	Picture	Pic6:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	168623	10694	1	1597	1	9800	next	other	0
S6002165'	3	Picture	Pic7:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	170220	12291	1	1528	1	11150	next	other	0
S6002165'	3	Picture	Pic8:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	171748	13819	1	1528	1	12500	next	other	0
S6002165'	3	Picture	Pic9:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	173276	15347	1	1528	1	13850	next	other	0
S6002165'	3	Picture	Pic10:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	174803	16874	1	1528	1	15200	next	other	0
S6002165'	3	Picture	Pic11:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	176331	18402	1	1528	1	16550	next	other	0
S6002165'	3	Picture	Pic12:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	177859	19930	1	1528	1	17900	next	other	0
S6002165'	3	Picture	Pic13:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	179387	21458	1	1528	1	19250	next	other	0
S6002165'	3	Picture	Pic14:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	180914	22985	1	1528	1	20600	next	other	0
S6002165'	3	Picture	Pic15:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	182442	24513	1	1528	1	21950	next	other	0
S6002165'	3	Picture	Pic16:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	183970	26041	1	1528	1	23300	next	other	0
S6002165'	3	Picture	Pic17:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	185497	27569	1	1528	1	24650	next	other	0
S6002165'	3	Picture	Pic18:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	187025	29096	1	1528	1	26000	next	other	0
S6002165'	3	Picture	Pic19:0:grating2_cont1_or2,grating2_cont1_or2, fix:1	188553	30624	1	1528	1	27350	next	other	0
S6002165'	3	Picture	Pic20:4:grating2_cont1_or2,grating2_cont1_or2, fix:1	190081	32152	1	2292	1	28700	next	other	0
S6002165'	4	Picture	Pic1:3:grating1_cont5_or2,grating0, fix:1	205288	0	1	4861	1	0	next	other	0
S6002165'	4	Picture	Pic2:130:grating1_cont5_or2,grating0, fix:3	210149	4861	1	1389	1	4820	next	other	0
S6002165'	4	Picture	Pic3:0:grating1_cont5_or2,grating0, fix:1	211538	6250	1	1389	1	6170	next	other	0
S6002165'	4	Picture	Pic4:0:grating1_cont5_or2,grating0, fix:1	212927	7639	1	1389	1	7520	next	other	0
S6002165'	4	Picture	Pic5:0:grating1_cont5_or2,grating0, fix:1	214316	9027	1	1389	1	8870	next	other	0
S6002165'	4	Picture	Pic6:0:grating1_cont5_or2,grating0, fix:1	215705	10416	1	1389	1	10220	next	other	0
S6002165'	4	Picture	Pic7:0:grating1_cont5_or2,grating0, fix:1	217093	11805	1	1458	1	11570	next	other	0
S6002165'	4	Picture	Pic8:0:grating1_cont5_or2,grating0, fix:1	218552	13264	1	1389	1	12920	next	other	0
S6002165'	4	Picture	Pic9:0:grating1_cont5_or2,grating0, fix:1	219941	14652	1	1389	1	14270	next	other	0
S6002165'	4	Picture	Pic10:0:grating1_cont5_or2,grating0, fix:1	221330	16041	1	1389	1	15620	next	other	0
S6002165'	4	Picture	Pic11:0:grating1_cont5_or2,grating0, fix:1	222718	17430	1	1389	1	16970	next	other	0
S6002165'	4	Picture	Pic12:0:grating1_cont5_or2,grating0, fix:1	224107	18819	1	1389	1	18320	next	other	0
S6002165'	4	Picture	Pic13:0:grating1_cont5_or2,grating0, fix:1	225496	20208	1	1389	1	19670	next	other	0
S6002165'	4	Picture	Pic14:0:grating1_cont5_or2,grating0, fix:1	226885	21597	1	1389	2	21020	next	other	0
S6002165'	4	Picture	Pic15:0:grating1_cont5_or2,grating0, fix:1	228274	22985	2	1389	2	22370	next	other	0
S6002165'	4	Picture	Pic16:0:grating1_cont5_or2,grating0, fix:1	229663	24374	1	1389	1	23720	next	other	0
S6002165'	4	Picture	Pic17:0:grating1_cont5_or2,grating0, fix:1	231052	25763	1	1389	50	25070	next	other	0
S6002165'	4	Picture	Pic18:5:grating1_cont5_or2,grating0, fix:2	232440	27152	50	1389	50	26420	next	other	0
S6002165'	4	Picture	Pic19:0:grating1_cont5_or2,grating0, fix:1	233829	28541	1	1389	1	27770	next	other	0
S6002165'	4	Picture	Pic20:4:grating1_cont5_or2,grating0, fix:1	235218	29930	1	4930	1	29120	next	other	0
S6002165'	5	Picture	Pic1:3:grating1_cont5_or2,grating0, fix:1	253551	0	1	5625	1	0	next	other	0
S6002165'	5	Picture	Pic2:19:grating1_cont5_or2,grating0, fix:3	259176	5625	1	1389	1	5590	next	other	0
S6002165'	5	Picture	Pic3:0:grating1_cont5_or2,grating0, fix:1	260564	7014	1	1389	1	6940	next	other	0
S6002165'	5	Picture	Pic4:0:grating1_cont5_or2,grating0, fix:1	261953	8402	1	1389	1	8290	next	other	0
S6002165'	5	Picture	Pic5:0:grating1_cont5_or2,grating0, fix:1	263342	9791	1	1389	1	9640	next	other	0
S6002165'	5	Picture	Pic6:0:grating1_cont5_or2,grating0, fix:1	264731	11180	1	1389	1	10990	next	other	0
S6002165'	5	Picture	Pic7:0:grating1_cont5_or2,grating0, fix:1	266120	12569	1	1458	1	12340	next	other	0
S6002165'	5	Picture	Pic8:0:grating1_cont5_or2,grating0, fix:1	267578	14027	1	1389	1	13690	next	other	0
S6002165'	5	Picture	Pic9:0:grating1_cont5_or2,grating0, fix:1	268967	15416	1	1389	1	15040	next	other	0
S6002165'	5	Picture	Pic10:0:grating1_cont5_or2,grating0, fix:1	270356	16805	1	1389	1	16390	next	other	0
S6002165'	5	Picture	Pic11:0:grating1_cont5_or2,grating0, fix:1	271745	18194	1	1389	1	17740	next	other	0
S6002165'	5	Picture	Pic12:0:grating1_cont5_or2,grating0, fix:1	273133	19583	1	1389	1	19090	next	other	0
S6002165'	5	Picture	Pic13:0:grating1_cont5_or2,grating0, fix:1	274522	20972	1	1389	1	20440	next	other	0
S6002165'	5	Picture	Pic14:0:grating1_cont5_or2,grating0, fix:1	275911	22360	1	1389	1	21790	next	other	0
S6002165'	5	Picture	Pic15:0:grating1_cont5_or2,grating0, fix:1	277300	23749	1	1389	1	23140	next	other	0
S6002165'	5	Picture	Pic16:0:grating1_cont5_or2,grating0, fix:1	278689	25138	1	1389	1	24490	next	other	0
S6002165'	5	Picture	Pic17:0:grating1_cont5_or2,grating0, fix:1	280078	26527	1	1389	1	25840	next	other	0
S6002165'	5	Picture	Pic18:0:grating1_cont5_or2,grating0, fix:1	281467	27916	1	1389	1	27190	next	other	0
S6002165'	5	Picture	Pic19:0:grating1_cont5_or2,grating0, fix:1	282855	29305	1	1389	1	28540	next	other	0
S6002165'	5	Picture	Pic20:4:grating1_cont5_or2,grating0, fix:1	284244	30693	1	4930	1	29890	next	other	0
S6002165'	6	Picture	Pic1:3:grating1_cont3_or2,grating0, fix:1	302855	0	1	4514	1	0	next	other	0
S6002165'	6	Picture	Pic2:117:grating1_cont3_or2,grating0, fix:3	307369	4514	1	1389	1	4470	next	other	0
S6002165'	6	Picture	Pic3:0:grating1_cont3_or2,grating0, fix:1	308757	5903	1	1389	1	5820	next	other	0
S6002165'	6	Picture	Pic4:0:grating1_cont3_or2,grating0, fix:1	310146	7291	1	1389	1	7170	next	other	0
S6002165'	6	Picture	Pic5:0:grating1_cont3_or2,grating0, fix:1	311535	8680	1	1389	1	8520	next	other	0
S6002165'	6	Picture	Pic6:0:grating1_cont3_or2,grating0, fix:1	312924	10069	1	1389	1	9870	next	other	0
S6002165'	6	Picture	Pic7:0:grating1_cont3_or2,grating0, fix:1	314313	11458	1	1458	1	11220	next	other	0
S6002165'	6	Picture	Pic8:0:grating1_cont3_or2,grating0, fix:1	315771	12916	1	1389	1	12570	next	other	0
S6002165'	6	Picture	Pic9:0:grating1_cont3_or2,grating0, fix:1	317160	14305	1	1389	1	13920	next	other	0
S6002165'	6	Picture	Pic10:0:grating1_cont3_or2,grating0, fix:1	318549	15694	1	1389	1	15270	next	other	0
S6002165'	6	Picture	Pic11:0:grating1_cont3_or2,grating0, fix:1	319938	17083	1	1389	1	16620	next	other	0
S6002165'	6	Picture	Pic12:0:grating1_cont3_or2,grating0, fix:1	321326	18472	1	1389	1	17970	next	other	0
S6002165'	6	Picture	Pic13:0:grating1_cont3_or2,grating0, fix:1	322715	19860	1	1389	1	19320	next	other	0
S6002165'	6	Picture	Pic14:0:grating1_cont3_or2,grating0, fix:1	324104	21249	1	1389	1	20670	next	other	0
S6002165'	6	Picture	Pic15:0:grating1_cont3_or2,grating0, fix:1	325493	22638	1	1389	1	22020	next	other	0
S6002165'	6	Picture	Pic16:0:grating1_cont3_or2,grating0, fix:1	326882	24027	1	1389	1	23370	next	other	0
S6002165'	6	Picture	Pic17:0:grating1_cont3_or2,grating0, fix:1	328271	25416	1	1389	1	24720	next	other	0
