Scenario - SSVEP
Logfile written - 09/10/2023 17:00:18

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

S6010932	2	Response	1	338623	277653	1
S6010932	3	Picture	Pic1:3:grating1_cont4_or1,grating0, fix:1	355612	0	1	5764	1	0	next	other	0
S6010932	3	Picture	Pic2:113:grating1_cont4_or1,grating0, fix:3	361375	5764	1	1528	1	5590	next	other	0
S6010932	3	Picture	Pic3:0:grating1_cont4_or1,grating0, fix:1	362903	7291	1	1528	1	6940	next	other	0
S6010932	3	Picture	Pic4:0:grating1_cont4_or1,grating0, fix:1	364431	8819	1	1528	1	8290	next	other	0
S6010932	3	Picture	Pic5:0:grating1_cont4_or1,grating0, fix:1	365958	10347	1	1528	1	9640	next	other	0
S6010932	3	Picture	Pic6:0:grating1_cont4_or1,grating0, fix:1	367486	11875	1	1597	1	10990	next	other	0
S6010932	3	Picture	Pic7:0:grating1_cont4_or1,grating0, fix:1	369083	13472	1	1528	1	12340	next	other	0
S6010932	3	Picture	Pic8:0:grating1_cont4_or1,grating0, fix:1	370611	14999	1	1528	1	13690	next	other	0
S6010932	3	Picture	Pic9:0:grating1_cont4_or1,grating0, fix:1	372139	16527	1	1528	1	15040	next	other	0
S6010932	3	Picture	Pic10:0:grating1_cont4_or1,grating0, fix:1	373667	18055	1	1528	1	16390	next	other	0
S6010932	3	Picture	Pic11:0:grating1_cont4_or1,grating0, fix:1	375194	19583	1	1528	1	17740	next	other	0
S6010932	3	Picture	Pic12:0:grating1_cont4_or1,grating0, fix:1	376722	21110	1	1528	1	19090	next	other	0
S6010932	3	Picture	Pic13:0:grating1_cont4_or1,grating0, fix:1	378250	22638	1	1528	1	20440	next	other	0
S6010932	3	Picture	Pic14:0:grating1_cont4_or1,grating0, fix:1	379777	24166	1	1528	1	21790	next	other	0
S6010932	3	Picture	Pic15:0:grating1_cont4_or1,grating0, fix:1	381305	25694	1	1528	1	23140	next	other	0
S6010932	3	Picture	Pic16:0:grating1_cont4_or1,grating0, fix:1	382833	27221	1	1528	1	24490	next	other	0
S6010932	3	Picture	Pic17:0:grating1_cont4_or1,grating0, fix:1	384361	28749	1	1528	1	25840	next	other	0
S6010932	3	Picture	Pic18:0:grating1_cont4_or1,grating0, fix:1	385888	30277	1	1528	1	27190	next	other	0
S6010932	3	Picture	Pic19:0:grating1_cont4_or1,grating0, fix:1	387416	31804	1	1528	1	28540	next	other	0
S6010932	3	Picture	Pic20:4:grating1_cont4_or1,grating0, fix:1	388944	33332	1	2292	1	29890	next	other	0
S6010932	4	Picture	Pic1:3:grating2_cont3_or1,grating2_cont1_or1, fix:1	407276	0	1	5416	1	0	next	other	0
S6010932	4	Picture	Pic2:22:grating2_cont3_or1,grating2_cont1_or1, fix:3	412693	5416	1	1389	1	5380	next	other	0
S6010932	4	Picture	Pic3:0:grating2_cont3_or1,grating2_cont1_or1, fix:1	414082	6805	1	1389	1	6730	next	other	0
S6010932	4	Picture	Pic4:0:grating2_cont3_or1,grating2_cont1_or1, fix:1	415470	8194	1	1389	1	8080	next	other	0
S6010932	4	Picture	Pic5:0:grating2_cont3_or1,grating2_cont1_or1, fix:1	416859	9583	1	1389	1	9430	next	other	0
