Scenario - SSVEP
Logfile written - 11/18/2020 11:43:37

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

Sam_Pilot	2	Response	1	744991	683441	1
Sam_Pilot	3	Picture	Pic1:3:grating2_cont2_or1,grating2_cont1_or1, fix:1	759811	0	260	5380	479	0	next	other	0
Sam_Pilot	3	Picture	Pic2:131:grating2_cont2_or1,grating2_cont1_or1, fix:3	765191	5380	219	1350	422	5380	next	other	0
Sam_Pilot	3	Picture	Pic3:5:grating2_cont2_or1,grating2_cont1_or1, fix:2	766541	6730	203	1350	391	6730	next	other	0
Sam_Pilot	3	Picture	Pic4:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	767891	8080	188	1521	190	8080	next	other	0
Sam_Pilot	3	Picture	Pic5:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	769412	9601	2	1502	3	9430	next	other	0
Sam_Pilot	3	Picture	Pic6:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	770914	11103	1	1501	2	10780	next	other	0
Sam_Pilot	3	Picture	Pic7:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	772415	12604	1	1502	2	12130	next	other	0
Sam_Pilot	3	Picture	Pic8:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	773917	14106	1	1501	3	13480	next	other	0
Sam_Pilot	3	Picture	Pic9:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	775418	15607	2	1501	4	14830	next	other	0
Sam_Pilot	3	Picture	Pic10:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	776919	17108	2	1502	3	16180	next	other	0
Sam_Pilot	3	Picture	Pic11:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	778421	18610	1	1501	3	17530	next	other	0
Sam_Pilot	3	Picture	Pic12:0:grating2_cont2_or1,grating2_cont1_or1, fix:1	779922	20111	2	1502	4	18880	next	other	0
