Scenario - SSVEP
Logfile written - 12/22/2020 13:07:33

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

Scott_Pilot	2	Response	1	332607	271058	1
Scott_Pilot	3	Picture	Pic1:3:grating1_cont5_or1,grating0, fix:1	346826	0	2	5590	253	0	next	other	0
Scott_Pilot	3	Picture	Pic2:14:grating1_cont5_or1,grating0, fix:3	352416	5590	251	1350	487	5590	next	other	0
Scott_Pilot	3	Picture	Pic3:0:grating1_cont5_or1,grating0, fix:1	353766	6940	236	1350	456	6940	next	other	0
Scott_Pilot	3	Picture	Pic4:0:grating1_cont5_or1,grating0, fix:1	355116	8290	220	1350	425	8290	next	other	0
Scott_Pilot	3	Picture	Pic5:0:grating1_cont5_or1,grating0, fix:1	356466	9640	205	1350	394	9640	next	other	0
Scott_Pilot	3	Picture	Pic6:0:grating1_cont5_or1,grating0, fix:1	357816	10990	189	1523	190	10990	next	other	0
Scott_Pilot	3	Picture	Pic7:0:grating1_cont5_or1,grating0, fix:1	359339	12513	1	1501	2	12340	next	other	0
Scott_Pilot	3	Picture	Pic8:0:grating1_cont5_or1,grating0, fix:1	360840	14014	1	1502	2	13690	next	other	0
Scott_Pilot	3	Picture	Pic9:0:grating1_cont5_or1,grating0, fix:1	362342	15516	1	1501	2	15040	next	other	0
Scott_Pilot	3	Picture	Pic10:0:grating1_cont5_or1,grating0, fix:1	363843	17017	1	1502	2	16390	next	other	0
Scott_Pilot	3	Picture	Pic11:0:grating1_cont5_or1,grating0, fix:1	365345	18519	1	1501	2	17740	next	other	0
Scott_Pilot	3	Picture	Pic12:0:grating1_cont5_or1,grating0, fix:1	366846	20020	1	1501	3	19090	next	other	0
Scott_Pilot	3	Picture	Pic13:0:grating1_cont5_or1,grating0, fix:1	368347	21521	2	1502	3	20440	next	other	0
Scott_Pilot	3	Picture	Pic14:0:grating1_cont5_or1,grating0, fix:1	369849	23023	1	1501	3	21790	next	other	0
Scott_Pilot	3	Picture	Pic15:0:grating1_cont5_or1,grating0, fix:1	371350	24524	2	1502	3	23140	next	other	0
Scott_Pilot	3	Picture	Pic16:0:grating1_cont5_or1,grating0, fix:1	372852	26026	1	1501	3	24490	next	other	0
Scott_Pilot	3	Picture	Pic17:0:grating1_cont5_or1,grating0, fix:1	374353	27527	2	1502	3	25840	next	other	0
Scott_Pilot	3	Picture	Pic18:0:grating1_cont5_or1,grating0, fix:1	375855	29029	1	1501	2	27190	next	other	0
Scott_Pilot	3	Picture	Pic19:0:grating1_cont5_or1,grating0, fix:1	377356	30530	1	1502	2	28540	next	other	0
Scott_Pilot	3	Picture	Pic20:4:grating1_cont5_or1,grating0, fix:1	378858	32032	1	3670	2	29890	next	other	0
Scott_Pilot	4	Picture	Pic1:3:grating1_cont3_or1,grating0, fix:1	398543	0	2	4338	3	0	next	other	0
Scott_Pilot	4	Picture	Pic2:12:grating1_cont3_or1,grating0, fix:3	402881	4338	1	1501	3	4200	next	other	0
Scott_Pilot	4	Picture	Pic3:0:grating1_cont3_or1,grating0, fix:1	404382	5839	2	1502	3	5550	next	other	0
Scott_Pilot	4	Picture	Pic4:0:grating1_cont3_or1,grating0, fix:1	405884	7341	1	1501	3	6900	next	other	0
Scott_Pilot	4	Picture	Pic5:0:grating1_cont3_or1,grating0, fix:1	407385	8842	2	1502	3	8250	next	other	0
Scott_Pilot	4	Picture	Pic6:0:grating1_cont3_or1,grating0, fix:1	408887	10344	1	1501	2	9600	next	other	0
Scott_Pilot	4	Picture	Pic7:0:grating1_cont3_or1,grating0, fix:1	410388	11845	1	1502	2	10950	next	other	0
Scott_Pilot	4	Picture	Pic8:0:grating1_cont3_or1,grating0, fix:1	411890	13347	1	1501	2	12300	next	other	0
Scott_Pilot	4	Picture	Pic9:0:grating1_cont3_or1,grating0, fix:1	413391	14848	1	1502	2	13650	next	other	0
Scott_Pilot	4	Picture	Pic10:0:grating1_cont3_or1,grating0, fix:1	414893	16350	1	1501	2	15000	next	other	0
Scott_Pilot	4	Picture	Pic11:0:grating1_cont3_or1,grating0, fix:1	416394	17851	1	1502	2	16350	next	other	0
Scott_Pilot	4	Picture	Pic12:0:grating1_cont3_or1,grating0, fix:1	417896	19353	1	1501	2	17700	next	other	0
Scott_Pilot	4	Picture	Pic13:0:grating1_cont3_or1,grating0, fix:1	419397	20854	1	1501	3	19050	next	other	0
Scott_Pilot	4	Picture	Pic14:0:grating1_cont3_or1,grating0, fix:1	420898	22355	2	1502	3	20400	next	other	0
Scott_Pilot	4	Picture	Pic15:0:grating1_cont3_or1,grating0, fix:1	422400	23857	1	1501	3	21750	next	other	0
Scott_Pilot	4	Picture	Pic16:0:grating1_cont3_or1,grating0, fix:1	423901	25358	2	1502	3	23100	next	other	0
Scott_Pilot	4	Picture	Pic17:0:grating1_cont3_or1,grating0, fix:1	425403	26860	1	1501	3	24450	next	other	0
Scott_Pilot	4	Picture	Pic18:0:grating1_cont3_or1,grating0, fix:1	426904	28361	2	1502	3	25800	next	other	0
Scott_Pilot	4	Picture	Pic19:0:grating1_cont3_or1,grating0, fix:1	428406	29863	1	1501	2	27150	next	other	0
Scott_Pilot	4	Picture	Pic20:4:grating1_cont3_or1,grating0, fix:1	429907	31364	1	3003	2	28500	next	other	0
Scott_Pilot	5	Picture	Pic1:3:grating2_cont4_or1,grating2_cont1_or1, fix:1	447591	0	1	5505	3	0	next	other	0
Scott_Pilot	5	Picture	Pic2:23:grating2_cont4_or1,grating2_cont1_or1, fix:3	453096	5505	2	1502	3	5450	next	other	0
Scott_Pilot	5	Picture	Pic3:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	454598	7007	1	1501	3	6800	next	other	0
Scott_Pilot	5	Picture	Pic4:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	456099	8508	2	1502	3	8150	next	other	0
Scott_Pilot	5	Picture	Pic5:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	457601	10010	1	1501	3	9500	next	other	0
Scott_Pilot	5	Picture	Pic6:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	459102	11511	2	1502	3	10850	next	other	0
Scott_Pilot	5	Picture	Pic7:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	460604	13013	1	1501	3	12200	next	other	0
Scott_Pilot	5	Picture	Pic8:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	462105	14514	2	1502	3	13550	next	other	0
Scott_Pilot	5	Picture	Pic9:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	463607	16016	1	1501	2	14900	next	other	0
Scott_Pilot	5	Picture	Pic10:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	465108	17517	1	1502	2	16250	next	other	0
Scott_Pilot	5	Picture	Pic11:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	466610	19019	1	1501	2	17600	next	other	0
Scott_Pilot	5	Picture	Pic12:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	468111	20520	1	1501	3	18950	next	other	0
Scott_Pilot	5	Picture	Pic13:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	469612	22021	2	1502	3	20300	next	other	0
Scott_Pilot	5	Picture	Pic14:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	471114	23523	1	1501	3	21650	next	other	0
Scott_Pilot	5	Picture	Pic15:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	472615	25024	2	1502	3	23000	next	other	0
Scott_Pilot	5	Picture	Pic16:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	474117	26526	1	1501	3	24350	next	other	0
Scott_Pilot	5	Picture	Pic17:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	475618	28027	2	1502	3	25700	next	other	0
Scott_Pilot	5	Picture	Pic18:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	477120	29529	1	1501	2	27050	next	other	0
Scott_Pilot	5	Picture	Pic19:0:grating2_cont4_or1,grating2_cont1_or1, fix:1	478621	31030	1	1502	2	28400	next	other	0
