Scenario - SSVEP
Logfile written - 03/11/2022 11:54:37

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

prac	2	Response	1	368196	307364	1
prac	3	Picture	Pic1:3:grating2_cont5_or2,grating2_cont1_or2, fix:1	381933	0	1	6111	1	0	next	other	0
prac	3	Picture	Pic2:131:grating2_cont5_or2,grating2_cont1_or2, fix:3	388044	6111	1	1528	1	5930	next	other	0
prac	3	Picture	Pic3:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	389572	7639	1	1528	1	7280	next	other	0
prac	3	Picture	Pic4:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	391099	9166	1	1528	1	8630	next	other	0
prac	3	Picture	Pic5:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	392627	10694	1	1528	1	9980	next	other	0
prac	3	Picture	Pic6:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	394155	12222	1	1597	1	11330	next	other	0
prac	3	Picture	Pic7:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	395752	13819	1	1528	1	12680	next	other	0
prac	3	Picture	Pic8:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	397280	15347	1	1528	1	14030	next	other	0
prac	3	Picture	Pic9:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	398808	16874	1	1528	1	15380	next	other	0
prac	3	Picture	Pic10:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	400335	18402	1	1528	1	16730	next	other	0
prac	3	Picture	Pic11:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	401863	19930	1	1528	1	18080	next	other	0
prac	3	Picture	Pic12:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	403391	21458	1	1528	1	19430	next	other	0
prac	3	Picture	Pic13:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	404919	22985	1	1528	1	20780	next	other	0
prac	3	Picture	Pic14:5:grating2_cont5_or2,grating2_cont1_or2, fix:2	406446	24513	1	1528	1	22130	next	other	0
prac	3	Picture	Pic15:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	407974	26041	1	1528	1	23480	next	other	0
prac	3	Picture	Pic16:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	409502	27569	1	1528	1	24830	next	other	0
prac	3	Picture	Pic17:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	411029	29096	1	1528	1	26180	next	other	0
prac	3	Picture	Pic18:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	412557	30624	1	1528	1	27530	next	other	0
prac	3	Picture	Pic19:0:grating2_cont5_or2,grating2_cont1_or2, fix:1	414085	32152	1	1528	1	28880	next	other	0
prac	3	Picture	Pic20:4:grating2_cont5_or2,grating2_cont1_or2, fix:1	415613	33680	1	2292	1	30230	next	other	0
prac	4	Picture	Pic1:3:grating1_cont4_or2,grating0, fix:1	433876	0	1	5903	1	0	next	other	0
prac	4	Picture	Pic2:130:grating1_cont4_or2,grating0, fix:3	439779	5903	1	1389	1	5860	next	other	0
prac	4	Picture	Pic3:0:grating1_cont4_or2,grating0, fix:1	441167	7291	1	1389	1	7210	next	other	0
prac	4	Picture	Pic4:0:grating1_cont4_or2,grating0, fix:1	442556	8680	1	1389	1	8560	next	other	0
