Scenario - SSVEP
Logfile written - 01/04/2023 12:51:20

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

prac	2	Response	1	534349	473518	1
prac	3	Picture	Pic1:3:grating1_cont2_or2,grating0, fix:1	551303	0	1	6111	1	0	next	other	0
prac	3	Picture	Pic2:116:grating1_cont2_or2,grating0, fix:3	557414	6111	1	1528	1	5930	next	other	0
prac	3	Picture	Pic3:0:grating1_cont2_or2,grating0, fix:1	558942	7639	1	1528	1	7280	next	other	0
prac	3	Picture	Pic4:0:grating1_cont2_or2,grating0, fix:1	560470	9166	1	1528	1	8630	next	other	0
prac	3	Picture	Pic5:0:grating1_cont2_or2,grating0, fix:1	561997	10694	1	1528	1	9980	next	other	0
prac	3	Picture	Pic6:0:grating1_cont2_or2,grating0, fix:1	563525	12222	1	1597	1	11330	next	other	0
prac	3	Picture	Pic7:0:grating1_cont2_or2,grating0, fix:1	565122	13819	1	1528	1	12680	next	other	0
prac	3	Picture	Pic8:0:grating1_cont2_or2,grating0, fix:1	566650	15347	1	1528	1	14030	next	other	0
prac	3	Picture	Pic9:0:grating1_cont2_or2,grating0, fix:1	568177	16874	1	1528	1	15380	next	other	0
prac	3	Picture	Pic10:0:grating1_cont2_or2,grating0, fix:1	569705	18402	1	1528	1	16730	next	other	0
prac	3	Picture	Pic11:0:grating1_cont2_or2,grating0, fix:1	571233	19930	1	1528	1	18080	next	other	0
prac	3	Picture	Pic12:0:grating1_cont2_or2,grating0, fix:1	572761	21458	1	1528	1	19430	next	other	0
prac	3	Picture	Pic13:0:grating1_cont2_or2,grating0, fix:1	574288	22985	1	1528	1	20780	next	other	0
prac	3	Picture	Pic14:0:grating1_cont2_or2,grating0, fix:1	575816	24513	1	1528	1	22130	next	other	0
prac	3	Picture	Pic15:0:grating1_cont2_or2,grating0, fix:1	577344	26041	1	1528	1	23480	next	other	0
prac	3	Picture	Pic16:0:grating1_cont2_or2,grating0, fix:1	578872	27569	1	1528	1	24830	next	other	0
prac	3	Picture	Pic17:0:grating1_cont2_or2,grating0, fix:1	580399	29096	1	1528	1	26180	next	other	0
prac	3	Picture	Pic18:0:grating1_cont2_or2,grating0, fix:1	581927	30624	1	1528	1	27530	next	other	0
prac	3	Picture	Pic19:0:grating1_cont2_or2,grating0, fix:1	583455	32152	1	1528	1	28880	next	other	0
prac	3	Picture	Pic20:4:grating1_cont2_or2,grating0, fix:1	584983	33680	1	2292	1	30230	next	other	0
prac	4	Picture	Pic1:3:grating1_cont1_or1,grating0, fix:1	600468	0	1	4444	1	0	next	other	0
prac	4	Picture	Pic2:130:grating1_cont1_or1,grating0, fix:3	604913	4444	1	1389	1	4400	next	other	0
prac	4	Picture	Pic3:0:grating1_cont1_or1,grating0, fix:1	606301	5833	1	1389	1	5750	next	other	0
prac	4	Picture	Pic4:5:grating1_cont1_or1,grating0, fix:2	607690	7222	1	1389	1	7100	next	other	0
prac	4	Picture	Pic5:0:grating1_cont1_or1,grating0, fix:1	609079	8611	1	1389	1	8450	next	other	0
prac	4	Picture	Pic6:0:grating1_cont1_or1,grating0, fix:1	610468	10000	1	1389	1	9800	next	other	0
prac	4	Picture	Pic7:0:grating1_cont1_or1,grating0, fix:1	611857	11389	1	1458	1	11150	next	other	0
prac	4	Picture	Pic8:0:grating1_cont1_or1,grating0, fix:1	613315	12847	1	1389	1	12500	next	other	0
prac	4	Picture	Pic9:0:grating1_cont1_or1,grating0, fix:1	614704	14236	1	1389	75	13850	next	other	0
prac	4	Picture	Pic10:0:grating1_cont1_or1,grating0, fix:1	616093	15624	75	1389	75	15200	next	other	0
prac	4	Picture	Pic11:0:grating1_cont1_or1,grating0, fix:1	617482	17013	1	1389	1	16550	next	other	0
prac	4	Picture	Pic12:0:grating1_cont1_or1,grating0, fix:1	618871	18402	1	1389	1	17900	next	other	0
prac	4	Picture	Pic13:0:grating1_cont1_or1,grating0, fix:1	620259	19791	1	1389	1	19250	next	other	0
prac	4	Picture	Pic14:0:grating1_cont1_or1,grating0, fix:1	621648	21180	1	1389	1	20600	next	other	0
prac	4	Picture	Pic15:0:grating1_cont1_or1,grating0, fix:1	623037	22569	1	1389	1	21950	next	other	0
prac	4	Picture	Pic16:0:grating1_cont1_or1,grating0, fix:1	624426	23958	1	1389	1	23300	next	other	0
prac	4	Picture	Pic17:0:grating1_cont1_or1,grating0, fix:1	625815	25346	1	1389	1	24650	next	other	0
prac	4	Picture	Pic18:0:grating1_cont1_or1,grating0, fix:1	627204	26735	1	1389	1	26000	next	other	0
prac	4	Picture	Pic19:0:grating1_cont1_or1,grating0, fix:1	628592	28124	1	1389	1	27350	next	other	0
prac	4	Picture	Pic20:4:grating1_cont1_or1,grating0, fix:1	629981	29513	1	4930	1	28700	next	other	0
prac	5	Picture	Pic1:3:grating2_cont5_or2,grating2_cont1_or2, fix:1	651508	0	1	4792	1	0	next	other	0
prac	5	Picture	Pic2:129:grating2_cont5_or2,grating2_cont1_or2, fix:3	656300	4792	1	1389	1	4750	next	other	0
