Scenario - SSVEP
Logfile written - 05/21/2021 10:38:50

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

practice	2	Response	1	380994	319778	4
practice	3	Picture	Pic1:3:grating1_cont4_or1,grating0, fix:1	397041	0	2	4839	3	0	next	other	0
practice	3	Picture	Pic2:13:grating1_cont4_or1,grating0, fix:3	401880	4839	1	1501	2	4680	next	other	0
practice	3	Picture	Pic3:0:grating1_cont4_or1,grating0, fix:1	403381	6340	1	1501	3	6030	next	other	0
practice	3	Picture	Pic4:0:grating1_cont4_or1,grating0, fix:1	404882	7841	2	1502	3	7380	next	other	0
practice	3	Picture	Pic5:0:grating1_cont4_or1,grating0, fix:1	406384	9343	1	1501	3	8730	next	other	0
practice	3	Picture	Pic6:0:grating1_cont4_or1,grating0, fix:1	407885	10844	2	1502	3	10080	next	other	0
practice	3	Picture	Pic7:0:grating1_cont4_or1,grating0, fix:1	409387	12346	1	1501	2	11430	next	other	0
practice	3	Picture	Pic8:0:grating1_cont4_or1,grating0, fix:1	410888	13847	1	1502	2	12780	next	other	0
practice	3	Picture	Pic9:0:grating1_cont4_or1,grating0, fix:1	412390	15349	1	1501	2	14130	next	other	0
practice	3	Picture	Pic10:0:grating1_cont4_or1,grating0, fix:1	413891	16850	1	1502	2	15480	next	other	0
practice	3	Picture	Pic11:0:grating1_cont4_or1,grating0, fix:1	415393	18352	1	1501	2	16830	next	other	0
practice	3	Picture	Pic12:0:grating1_cont4_or1,grating0, fix:1	416894	19853	1	1501	3	18180	next	other	0
practice	3	Picture	Pic13:0:grating1_cont4_or1,grating0, fix:1	418395	21354	2	1502	3	19530	next	other	0
practice	3	Picture	Pic14:0:grating1_cont4_or1,grating0, fix:1	419897	22856	1	1501	3	20880	next	other	0
practice	3	Picture	Pic15:0:grating1_cont4_or1,grating0, fix:1	421398	24357	2	1502	3	22230	next	other	0
practice	3	Picture	Pic16:0:grating1_cont4_or1,grating0, fix:1	422900	25859	1	1501	3	23580	next	other	0
practice	3	Picture	Pic17:0:grating1_cont4_or1,grating0, fix:1	424401	27360	2	1502	3	24930	next	other	0
practice	3	Picture	Pic18:0:grating1_cont4_or1,grating0, fix:1	425903	28862	1	1501	3	26280	next	other	0
practice	3	Picture	Pic19:0:grating1_cont4_or1,grating0, fix:1	427404	30363	2	1502	3	27630	next	other	0
practice	3	Picture	Pic20:4:grating1_cont4_or1,grating0, fix:1	428906	31865	1	2836	2	28980	next	other	0
practice	4	Picture	Pic1:3:grating1_cont2_or2,grating0, fix:1	446756	0	2	5673	3	0	next	other	0
practice	4	Picture	Pic2:116:grating1_cont2_or2,grating0, fix:3	452429	5673	1	1501	2	5520	next	other	0
practice	4	Picture	Pic3:0:grating1_cont2_or2,grating0, fix:1	453930	7174	1	1501	3	6870	next	other	0
practice	4	Picture	Pic4:0:grating1_cont2_or2,grating0, fix:1	455431	8675	2	1502	3	8220	next	other	0
practice	4	Picture	Pic5:0:grating1_cont2_or2,grating0, fix:1	456933	10177	1	1501	3	9570	next	other	0
practice	4	Picture	Pic6:0:grating1_cont2_or2,grating0, fix:1	458434	11678	2	1502	3	10920	next	other	0
practice	4	Picture	Pic7:0:grating1_cont2_or2,grating0, fix:1	459936	13180	1	1501	3	12270	next	other	0
practice	4	Picture	Pic8:0:grating1_cont2_or2,grating0, fix:1	461437	14681	2	1502	3	13620	next	other	0
practice	4	Picture	Pic9:0:grating1_cont2_or2,grating0, fix:1	462939	16183	1	1501	3	14970	next	other	0
practice	4	Picture	Pic10:0:grating1_cont2_or2,grating0, fix:1	464440	17684	2	1502	3	16320	next	other	0
practice	4	Picture	Pic11:0:grating1_cont2_or2,grating0, fix:1	465942	19186	1	1501	2	17670	next	other	0
practice	4	Picture	Pic12:0:grating1_cont2_or2,grating0, fix:1	467443	20687	1	1501	3	19020	next	other	0
practice	4	Picture	Pic13:0:grating1_cont2_or2,grating0, fix:1	468944	22188	2	1502	3	20370	next	other	0
practice	4	Picture	Pic14:0:grating1_cont2_or2,grating0, fix:1	470446	23690	1	1501	3	21720	next	other	0
practice	4	Picture	Pic15:0:grating1_cont2_or2,grating0, fix:1	471947	25191	2	1502	3	23070	next	other	0
practice	4	Picture	Pic16:0:grating1_cont2_or2,grating0, fix:1	473449	26693	1	1501	3	24420	next	other	0
practice	4	Picture	Pic17:0:grating1_cont2_or2,grating0, fix:1	474950	28194	2	1502	3	25770	next	other	0
