Scenario - SSVEP
Logfile written - 11/15/2023 15:41:48

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

tst	2	Response	1	280358	219387	1
tst	3	Picture	Pic1:3:grating2_cont3_or2,grating2_cont1_or2, fix:1	294504	0	1	5972	1	0	next	other	0
tst	3	Picture	Pic2:127:grating2_cont3_or2,grating2_cont1_or2, fix:3	300476	5972	1	1528	1	5790	next	other	0
tst	3	Picture	Pic3:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	302004	7500	1	1528	1	7140	next	other	0
tst	3	Picture	Pic4:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	303532	9027	1	1528	1	8490	next	other	0
tst	3	Picture	Pic5:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	305059	10555	1	1528	1	9840	next	other	0
tst	3	Picture	Pic6:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	306587	12083	1	1597	1	11190	next	other	0
tst	3	Picture	Pic7:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	308184	13680	1	1528	1	12540	next	other	0
tst	3	Picture	Pic8:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	309712	15208	1	1528	1	13890	next	other	0
tst	3	Picture	Pic9:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	311240	16736	1	1528	1	15240	next	other	0
tst	3	Picture	Pic10:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	312768	18263	1	1528	1	16590	next	other	0
tst	3	Picture	Pic11:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	314295	19791	1	1528	1	17940	next	other	0
tst	3	Picture	Pic12:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	315823	21319	1	1528	1	19290	next	other	0
tst	3	Picture	Pic13:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	317351	22847	1	1528	1	20640	next	other	0
tst	3	Picture	Pic14:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	318878	24374	1	1528	1	21990	next	other	0
tst	3	Picture	Pic15:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	320406	25902	1	1528	1	23340	next	other	0
tst	3	Picture	Pic16:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	321934	27430	1	1528	1	24690	next	other	0
tst	3	Picture	Pic17:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	323462	28957	1	1528	1	26040	next	other	0
tst	3	Picture	Pic18:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	324989	30485	1	1528	1	27390	next	other	0
tst	3	Picture	Pic19:0:grating2_cont3_or2,grating2_cont1_or2, fix:1	326517	32013	1	1528	1	28740	next	other	0
tst	3	Picture	Pic20:4:grating2_cont3_or2,grating2_cont1_or2, fix:1	328045	33541	1	2292	1	30090	next	other	0
tst	4	Picture	Pic1:3:grating2_cont1_or1,grating2_cont1_or1, fix:1	344086	0	1	5486	1	0	next	other	0
tst	4	Picture	Pic2:20:grating2_cont1_or1,grating2_cont1_or1, fix:3	349572	5486	1	1389	1	5450	next	other	0
tst	4	Picture	Pic3:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	350961	6875	1	1389	1	6800	next	other	0
tst	4	Picture	Pic4:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	352350	8264	1	1389	1	8150	next	other	0
tst	4	Picture	Pic5:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	353738	9652	1	1389	1	9500	next	other	0
tst	4	Picture	Pic6:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	355127	11041	1	1389	1	10850	next	other	0
tst	4	Picture	Pic7:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	356516	12430	1	1458	1	12200	next	other	0
tst	4	Picture	Pic8:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	357974	13888	1	1389	1	13550	next	other	0
tst	4	Picture	Pic9:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	359363	15277	1	1389	1	14900	next	other	0
tst	4	Picture	Pic10:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	360752	16666	1	1389	1	16250	next	other	0
tst	4	Picture	Pic11:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	362141	18055	1	1389	1	17600	next	other	0
tst	4	Picture	Pic12:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	363530	19444	1	1389	1	18950	next	other	0
tst	4	Picture	Pic13:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	364919	20833	1	1389	1	20300	next	other	0
tst	4	Picture	Pic14:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	366307	22221	1	1389	1	21650	next	other	0
tst	4	Picture	Pic15:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	367696	23610	1	1389	1	23000	next	other	0
tst	4	Picture	Pic16:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	369085	24999	1	1389	1	24350	next	other	0
tst	4	Picture	Pic17:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	370474	26388	1	1389	1	25700	next	other	0
tst	4	Picture	Pic18:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	371863	27777	1	1389	1	27050	next	other	0
tst	4	Picture	Pic19:0:grating2_cont1_or1,grating2_cont1_or1, fix:1	373252	29166	1	1389	1	28400	next	other	0
tst	4	Picture	Pic20:4:grating2_cont1_or1,grating2_cont1_or1, fix:1	374640	30555	1	4930	1	29750	next	other	0
tst	5	Picture	Pic1:3:grating1_cont2_or1,grating0, fix:1	396376	0	1	5208	1	0	next	other	0
tst	5	Picture	Pic2:111:grating1_cont2_or1,grating0, fix:3	401584	5208	1	1389	1	5170	next	other	0
tst	5	Picture	Pic3:0:grating1_cont2_or1,grating0, fix:1	402973	6597	1	1389	1	6520	next	other	0
tst	5	Picture	Pic4:0:grating1_cont2_or1,grating0, fix:1	404362	7986	1	1389	1	7870	next	other	0
tst	5	Picture	Pic5:0:grating1_cont2_or1,grating0, fix:1	405751	9375	1	1389	1	9220	next	other	0
tst	5	Picture	Pic6:0:grating1_cont2_or1,grating0, fix:1	407139	10763	1	1389	1	10570	next	other	0
tst	5	Picture	Pic7:0:grating1_cont2_or1,grating0, fix:1	408528	12152	1	1389	1	11920	next	other	0
tst	5	Picture	Pic8:0:grating1_cont2_or1,grating0, fix:1	409917	13541	1	1389	1	13270	next	other	0
