Scenario - Stim
Logfile written - 10/13/2021 14:24:54

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

	1	Picture	start	69	0	1	5069	1	0	5000	other	0
	2	Sound	Ah	10081	11	266			0		other	0
	3	Sound	Ah	20880	0	5			0		other	0
	4	Sound	Ah	32751	0	5			0		other	0
	5	Sound	Ah	44361	0	5			0		other	0
	6	Sound	Ah	56661	0	5			0		other	0
	7	Sound	Ah	67592	0	5			0		other	0
	8	Sound	Ah	78622	0	5			0		other	0
	9	Sound	Ah	90562	0	5			0		other	0
	10	Sound	Ah	102063	0	5			0		other	0
	11	Sound	Ah	114043	0	6			0		other	0
	12	Sound	Ah	125363	0	4			0		other	0
	13	Sound	Ah	136834	0	4			0		other	0
	14	Sound	Ah	147704	0	5			0		other	0
	15	Sound	Ah	160044	0	4			0		other	0
	16	Sound	Ah	172525	0	5			0		other	0
	17	Sound	Ah	184685	0	4			0		other	0
	18	Sound	Ah	195445	0	5			0		other	0
	19	Sound	Ah	206306	0	4			0		other	0
	20	Sound	Ah	218256	0	4			0		other	0
	21	Sound	Ah	229966	0	5			0		other	0
	22	Sound	Ah	241696	0	5			0		other	0
	23	Sound	Ah	253057	0	4			0		other	0
	24	Sound	Ah	264737	0	4			0		other	0
	25	Sound	Ah	275917	0	5			0		other	0
	26	Sound	Ah	287288	0	5			0		other	0
	27	Sound	Ah	299788	0	5			0		other	0
	28	Sound	Ah	311268	0	5			0		other	0
	29	Sound	Ah	322989	0	5			0		other	0
	30	Sound	Ah	334479	0	5			0		other	0
	31	Sound	Ah	346329	0	5			0		other	0
	32	Sound	Ah	357650	0	5			0		other	0
	33	Sound	Ah	369230	0	5			0		other	0
	34	Sound	Ah	381450	0	5			0		other	0
	35	Sound	Ah	393601	0	5			0		other	0
	36	Sound	Ah	406231	0	5			0		other	0
	37	Sound	Ah	419082	0	5			0		other	0
	38	Sound	Ah	431483	0	5			0		other	0
	39	Sound	Ah	443423	0	5			0		other	0
	40	Sound	Ah	455234	0	5			0		other	0
	41	Sound	Ah	468154	0	5			0		other	0
	42	Sound	Ah	479895	1	5			0		other	0
	43	Sound	Ah	492795	0	5			0		other	0
	44	Sound	Ah	505146	0	5			0		other	0
	45	Sound	Ah	518226	0	5			0		other	0
	46	Sound	Ah	530407	0	5			0		other	0
	47	Sound	Ah	544897	0	5			0		other	0
	48	Sound	Ah	557208	0	5			0		other	0
	49	Sound	Ah	569818	0	5			0		other	0
	50	Sound	Ah	582299	1	5			0		other	0
	51	Sound	Ah	595439	0	5			0		other	0
	52	Sound	Ah	608659	0	5			0		other	0
	53	Sound	Ah	621900	0	5			0		other	0
	54	Sound	Ah	634130	0	5			0		other	0
	55	Sound	Ah	646920	0	5			0		other	0
	56	Sound	Ah	660251	0	5			0		other	0
	57	Sound	Ah	673991	0	5			0		other	0
	58	Sound	Ah	686721	0	5			0		other	0
	59	Sound	Ah	699782	0	5			0		other	0
	60	Sound	Ah	712472	0	5			0		other	0
	61	Sound	Ah	725352	0	5			0		other	0
	62	Sound	Ah	738133	0	5			0		other	0
	63	Sound	Ah	751843	0	5			0		other	0
	64	Sound	Ah	764243	0	5			0		other	0
	65	Sound	Ah	776744	0	5			0		other	0
	66	Sound	Ah	790174	0	5			0		other	0
	67	Sound	Ah	802564	0	5			0		other	0
	68	Sound	Ah	815225	0	5			0		other	0
	69	Sound	Ah	828125	0	5			0		other	0
	70	Sound	Ah	840545	0	5			0		other	0
	71	Sound	Ah	853675	0	5			0		other	0
	72	Sound	Ah	866476	0	5			0		other	0
	73	Sound	Ah	879706	0	5			0		other	0
	74	Sound	Ah	893116	0	5			0		other	0
	75	Sound	Ah	906397	0	5			0		other	0
	76	Sound	Ah	919587	0	5			0		other	0
	77	Sound	Ah	932587	0	5			0		other	0
	78	Sound	Ah	946388	0	5			0		other	0
	79	Sound	Ah	959248	0	5			0		other	0
	80	Sound	Ah	972888	0	5			0		other	0
	81	Sound	Ah	986569	0	5			0		other	0
	82	Sound	Ah	1001379	0	5			0		other	0
	83	Sound	Ah	1015169	0	5			0		other	0
	84	Sound	Ah	1028600	0	5			0		other	0
	85	Sound	Ah	1042250	0	5			0		other	0
	86	Sound	Ah	1055270	0	5			0		other	0
	87	Sound	Ah	1068001	0	5			0		other	0
	88	Sound	Ah	1081771	0	5			0		other	0
	89	Sound	Ah	1095282	0	5			0		other	0
	90	Sound	Ah	1108712	1	5			0		other	0
	91	Sound	Ah	1122372	0	5			0		other	0
	92	Sound	Ah	1136183	0	5			0		other	0
	93	Sound	Ah	1149633	0	5			0		other	0
	94	Sound	Ah	1163733	0	5			0		other	0
	95	Sound	Ah	1176864	0	5			0		other	0
	96	Sound	Ah	1190764	0	5			0		other	0
	97	Sound	Ah	1204844	0	5			0		other	0
	98	Sound	Ah	1218155	1	5			0		other	0
