Scenario - Stim
Logfile written - 09/10/2023 17:17:26

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

S6010932	1	Picture	start	69	0	1	5069	1	0	5000	other	0
S6010932	2	Sound	Ah	10081	11	257			0		other	0
S6010932	3	Sound	Ah	22210	0	4			0		other	0
S6010932	4	Sound	Ah	33811	0	4			0		other	0
S6010932	5	Sound	Ah	46001	0	4			0		other	0
S6010932	6	Sound	Ah	58281	0	4			0		other	0
S6010932	7	Sound	Ah	70832	0	4			0		other	0
S6010932	8	Sound	Ah	82592	0	4			0		other	0
S6010932	9	Sound	Ah	94472	0	4			0		other	0
S6010932	10	Sound	Ah	106713	0	4			0		other	0
S6010932	11	Sound	Ah	118683	0	4			0		other	0
S6010932	12	Sound	Ah	131473	0	5			0		other	0
S6010932	13	Sound	Ah	143954	0	4			0		other	0
S6010932	14	Sound	Ah	156844	0	4			0		other	0
S6010932	15	Sound	Ah	169144	0	4			0		other	0
S6010932	16	Sound	Ah	180965	0	4			0		other	0
S6010932	17	Sound	Ah	193525	0	5			0		other	0
S6010932	18	Sound	Ah	205756	1	6			0		other	0
S6010932	19	Sound	Ah	217896	0	4			0		other	0
S6010932	20	Sound	Ah	230726	0	4			0		other	0
S6010932	21	Sound	Ah	242917	0	5			0		other	0
S6010932	22	Sound	Ah	254917	0	5			0		other	0
S6010932	23	Sound	Ah	266817	0	5			0		other	0
S6010932	24	Sound	Ah	279427	0	4			0		other	0
S6010932	25	Sound	Ah	291408	0	5			0		other	0
S6010932	26	Sound	Ah	305128	0	5			0		other	0
S6010932	27	Sound	Ah	318328	0	4			0		other	0
S6010932	28	Sound	Ah	331749	0	5			0		other	0
S6010932	29	Sound	Ah	345199	0	5			0		other	0
S6010932	30	Sound	Ah	357859	0	5			0		other	0
S6010932	31	Sound	Ah	370470	0	4			0		other	0
S6010932	32	Sound	Ah	382900	0	4			0		other	0
S6010932	33	Sound	Ah	396160	0	5			0		other	0
S6010932	34	Sound	Ah	409261	0	4			0		other	0
S6010932	35	Sound	Ah	422211	0	5			0		other	0
S6010932	36	Sound	Ah	434441	0	4			0		other	0
S6010932	37	Sound	Ah	448012	0	5			0		other	0
S6010932	38	Sound	Ah	461812	0	5			0		other	0
S6010932	39	Sound	Ah	475202	0	5			0		other	0
S6010932	40	Sound	Ah	487973	0	4			0		other	0
S6010932	41	Sound	Ah	501043	0	5			0		other	0
S6010932	42	Sound	Ah	514763	0	4			0		other	0
S6010932	43	Sound	Ah	528864	0	4			0		other	0
S6010932	44	Sound	Ah	543164	0	4			0		other	0
S6010932	45	Sound	Ah	557004	0	4			0		other	0
S6010932	46	Sound	Ah	571175	0	5			0		other	0
S6010932	47	Sound	Ah	585285	0	4			0		other	0
S6010932	48	Sound	Ah	600135	0	4			0		other	0
S6010932	49	Sound	Ah	614966	0	4			0		other	0
S6010932	50	Sound	Ah	628916	0	4			0		other	0
S6010932	51	Sound	Ah	642876	0	5			0		other	0
S6010932	52	Sound	Ah	656227	0	5			0		other	0
S6010932	53	Sound	Ah	670607	0	4			0		other	0
S6010932	54	Sound	Ah	686017	0	4			0		other	0
S6010932	55	Sound	Ah	702278	0	4			0		other	0
S6010932	56	Sound	Ah	716898	0	5			0		other	0
S6010932	57	Sound	Ah	731368	0	4			0		other	0
S6010932	58	Sound	Ah	746139	0	4			0		other	0
S6010932	59	Sound	Ah	760709	0	5			0		other	0
S6010932	60	Sound	Ah	774789	0	4			0		other	0
S6010932	61	Sound	Ah	789160	0	4			0		other	0
S6010932	62	Sound	Ah	803710	0	5			0		other	0
S6010932	63	Sound	Ah	818470	0	5			0		other	0
S6010932	64	Sound	Ah	833811	0	5			0		other	0
S6010932	65	Sound	Ah	849061	0	4			0		other	0
S6010932	66	Sound	Ah	864871	0	4			0		other	0
S6010932	67	Sound	Ah	880942	0	4			0		other	0
S6010932	68	Sound	Ah	896322	0	4			0		other	0
S6010932	69	Sound	Ah	910782	0	4			0		other	0
S6010932	70	Sound	Ah	925703	0	4			0		other	0
S6010932	71	Sound	Ah	940623	0	4			0		other	0
S6010932	72	Sound	Ah	955243	0	5			0		other	0
S6010932	73	Sound	Ah	970104	0	4			0		other	0
S6010932	74	Sound	Ah	986034	0	4			0		other	0
S6010932	75	Sound	Ah	1002304	0	4			0		other	0
