Scenario - Stim
Logfile written - 12/22/2020 14:09:38

Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index

Scott_Pilot	1	Picture	start	166	0	1	5172	2	0	5000	other	0
Scott_Pilot	2	Sound	Ah	10166	0	3			0		other	0
Scott_Pilot	3	Sound	Ah	38606	0	2			0		other	0
Scott_Pilot	4	Sound	Ah	64726	0	3			0		other	0
Scott_Pilot	5	Sound	Ah	88346	0	2			0		other	0
Scott_Pilot	6	Sound	Ah	114406	0	2			0		other	0
Scott_Pilot	7	Sound	Ah	137816	0	2			0		other	0
Scott_Pilot	8	Sound	Ah	161546	0	2			0		other	0
Scott_Pilot	9	Sound	Ah	184516	0	2			0		other	0
Scott_Pilot	10	Sound	Ah	207176	0	2			0		other	0
Scott_Pilot	11	Sound	Ah	228856	0	2			0		other	0
Scott_Pilot	12	Sound	Ah	250966	0	3			0		other	0
Scott_Pilot	13	Sound	Ah	272576	0	2			0		other	0
Scott_Pilot	14	Sound	Ah	294516	0	2			0		other	0
Scott_Pilot	15	Sound	Ah	316646	0	3			0		other	0
Scott_Pilot	16	Sound	Ah	339336	0	2			0		other	0
Scott_Pilot	17	Sound	Ah	362256	0	2			0		other	0
Scott_Pilot	18	Sound	Ah	383196	0	2			0		other	0
Scott_Pilot	19	Sound	Ah	405686	0	2			0		other	0
Scott_Pilot	20	Sound	Ah	427236	0	2			0		other	0
Scott_Pilot	21	Sound	Ah	449436	0	2			0		other	0
Scott_Pilot	22	Sound	Ah	471256	0	2			0		other	0
Scott_Pilot	23	Sound	Ah	493506	0	2			0		other	0
Scott_Pilot	24	Sound	Ah	515256	0	2			0		other	0
Scott_Pilot	25	Sound	Ah	537066	0	3			0		other	0
Scott_Pilot	26	Sound	Ah	558696	0	3			0		other	0
Scott_Pilot	27	Sound	Ah	580356	0	2			0		other	0
Scott_Pilot	28	Sound	Ah	601526	0	2			0		other	0
Scott_Pilot	29	Sound	Ah	622776	0	2			0		other	0
Scott_Pilot	30	Sound	Ah	643976	0	2			0		other	0
Scott_Pilot	31	Sound	Ah	664096	0	2			0		other	0
Scott_Pilot	32	Sound	Ah	685596	0	2			0		other	0
Scott_Pilot	33	Sound	Ah	707356	0	2			0		other	0
Scott_Pilot	34	Sound	Ah	727996	0	2			0		other	0
Scott_Pilot	35	Sound	Ah	748566	0	2			0		other	0
Scott_Pilot	36	Sound	Ah	768196	0	2			0		other	0
Scott_Pilot	37	Sound	Ah	788156	0	2			0		other	0
Scott_Pilot	38	Sound	Ah	807756	0	2			0		other	0
Scott_Pilot	39	Sound	Ah	829066	0	2			0		other	0
Scott_Pilot	40	Sound	Ah	848856	0	2			0		other	0
Scott_Pilot	41	Sound	Ah	869696	0	2			0		other	0
Scott_Pilot	42	Sound	Ah	890296	0	3			0		other	0
Scott_Pilot	43	Sound	Ah	911066	0	2			0		other	0
Scott_Pilot	44	Sound	Ah	932286	0	2			0		other	0
Scott_Pilot	45	Sound	Ah	954046	0	2			0		other	0
Scott_Pilot	46	Sound	Ah	977276	0	2			0		other	0
Scott_Pilot	47	Sound	Ah	999106	0	2			0		other	0
Scott_Pilot	48	Sound	Ah	1020456	0	3			0		other	0
Scott_Pilot	49	Sound	Ah	1042156	0	3			0		other	0
Scott_Pilot	50	Sound	Ah	1062036	0	2			0		other	0
Scott_Pilot	51	Sound	Ah	1084906	0	2			0		other	0
Scott_Pilot	52	Sound	Ah	1106306	0	2			0		other	0
Scott_Pilot	53	Sound	Ah	1127346	0	2			0		other	0
