TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,69,1,1,5.77433698633104,1.0037690835652,0.716568954563627,1.67
2,20,1,2,10.5416420959718,2.00326835354008,0.433361789001538,1.31
3,163,1,1.5,16.6088405919672,1.50252779402763,NaN,1.66
4,53,1,1.5,21.8905163021127,1.50416606794624,0.633115316280964,1.38
5,159,1,2.5,27.5840291412578,2.49342802818046,NaN,1.69
6,68,1,2,34.0326741704957,1.99503308593376,NaN,1.54
7,121,1,1,39.8840559775781,0.993515970536464,NaN,1.53
8,187,2,2,44.458786348654,0,0,1.26
9,35,1,2,50.3347823580316,1.99212996387814,NaN,1.5
10,149,1,2,56.2143323507007,1.99574774561734,NaN,1.5
11,17,1,2.5,62.3512967912602,2.49223809932118,NaN,1.69
12,84,1,1.5,68.6144331990736,1.49507420374084,NaN,1.43
13,157,1,1.5,74.1174110940819,1.49231448186674,NaN,1.66
14,85,1,1.5,79.2799941235189,1.49610317321276,NaN,1.33
15,24,1,1.5,84.4572522593571,1.50210344654988,NaN,1.33
16,146,1,2.5,89.6679176625421,2.49097149526278,NaN,1.28
17,100,1,1,95.7865166369083,0.989085782867733,NaN,1.32
18,40,1,2,100.679105510635,1.99622857520808,NaN,1.5
19,45,1,2.5,106.842440952048,2.49916608404237,NaN,1.74
20,50,1,2,113.206160588888,2.00191980652107,NaN,1.48
21,180,1,1.5,118.93736777552,1.50410285480484,NaN,1.39
22,122,1,1.5,124.487146222239,1.50412685238643,NaN,1.7
23,103,1,1,129.838530516876,1.00237605322309,NaN,1.54
24,74,1,1,134.891959376191,0.999100968653693,NaN,1.75
25,63,1,1,139.51638288551,0.991130845057342,NaN,1.32
26,61,1,2,144.253639218604,2.00362187888732,NaN,1.36
27,49,1,2.5,150.402556795983,2.50426030235212,NaN,1.72
28,111,1,2,156.571060204372,2.00227011267998,NaN,1.28
29,83,1,1.5,162.208919432803,1.49760068082833,NaN,1.29
30,59,1,1,167.752211216177,0.987469165303082,NaN,1.74
31,30,1,1.5,172.709953231055,1.49615380225623,NaN,1.63
32,54,1,2.5,178.111651967172,2.49440929514185,NaN,1.48
33,1,1,2.5,184.724618972547,2.49766945438569,NaN,1.69
34,171,1,1.5,191.223824857456,1.49836567690363,NaN,1.66
35,70,1,1.5,196.78101416706,1.49105373087696,NaN,1.72
36,131,1,2,202.176562498628,1.99524701559403,NaN,1.52
37,166,1,1,207.82145799355,1.0000965756326,NaN,1.35
38,33,1,1.5,212.690846181063,1.49732792783016,NaN,1.53
39,161,1,2,218.281566257761,1.98990930962827,NaN,1.71
40,98,1,2,224.245732015495,1.99220956561112,NaN,1.59
41,97,1,2,230.208509717996,1.99565526713286,NaN,1.59
42,64,1,1.5,235.874605320264,1.4962582795315,NaN,1.33
43,191,2,2,241.374525572203,0,0,1.69
44,110,1,2.5,247.462942905364,2.4905696820997,NaN,1.68
45,177,1,2,253.708347441668,1.99512263788438,NaN,1.37
46,60,1,1.5,259.604292172311,1.49905926553947,NaN,1.56
47,155,1,2.5,264.920203651671,2.4994145468072,NaN,1.39
48,126,1,2,271.364594670606,1.98827747408541,NaN,1.56
49,189,2,2,277.217718350921,0,0,1.55
50,144,1,1.5,282.811539383397,1.49092115887288,NaN,1.27
51,129,1,2.5,288.40198963363,2.50022929396437,NaN,1.67
52,46,1,1,294.628398035593,0.990333657106021,NaN,1.42
53,140,1,2.5,299.79515635156,2.49026941967713,NaN,1.75
54,164,1,2,306.068764484516,1.99946678544529,NaN,1.4
55,32,1,1.5,311.673269708526,1.4948746140999,NaN,1.26
56,188,2,2,317.095766153519,0,0,1.62
57,162,1,2,322.702526857537,1.99861867579602,NaN,1.25
58,82,1,2.5,328.782358909585,2.50174114160018,NaN,1.66
59,128,1,1,335.108644660494,0.992048606223761,NaN,1.52
60,114,1,2.5,339.841056408656,2.49296680636962,NaN,1.31
61,143,1,1.5,346.124731527057,1.49217869067434,NaN,1.44
62,29,1,1,351.172410917026,0.994368177333854,NaN,1.25
63,109,1,1,356.142681718028,0.99083819162388,NaN,1.67
64,174,1,2.5,360.975402186296,2.49117635266612,NaN,1.41
65,193,2,1.5,367.245099591426,0,0,1.51
66,25,1,2.5,372.447257559311,2.50214149149633,NaN,1.29
67,197,2,2,384.019567101189,0,0,1.65
68,136,1,1.5,389.773545066141,1.49185794251207,NaN,1.44
69,137,1,1,395.311262972229,0.987498723299723,NaN,1.74
70,57,1,2,400.181031023898,2.00106613645676,NaN,1.5
71,72,1,1.5,406.014220908273,1.50066183573927,NaN,1.49
72,65,1,1.5,411.241481517033,1.49006222104617,NaN,1.39
73,184,2,2.5,416.450801885039,0,0,1.35
74,58,1,2.5,422.922943765765,2.4914251080836,NaN,1.57
75,142,1,2,429.147618196137,1.999870939836,NaN,1.36
76,105,1,2.5,434.897743671297,2.49978650932098,NaN,1.34
77,194,2,1.5,441.377458544909,0,0,1.72
78,34,1,1,446.704830040056,0.991996513912454,NaN,1.54
79,22,1,2.5,451.660550697671,2.50296355498995,NaN,1.54
80,175,1,1,457.754975913159,0.991695666183659,NaN,1.29
81,23,1,1,462.628748927059,1.00118670967095,NaN,1.58
82,16,1,2.5,467.74025837201,2.48915528805719,NaN,1.69
83,28,1,1.5,473.959300687063,1.50332498197986,NaN,1.39
84,27,1,2.5,479.591816356458,2.50427025256886,NaN,1.71
85,81,1,2.5,485.837674798237,2.49113391791889,NaN,1.32
86,10,1,1.5,491.936150629893,1.49257113892781,NaN,1.27
87,169,1,1,497.226284609561,1.00243399860301,NaN,1.49
88,196,2,1,502.047126567634,0,0,1.6
89,80,1,2.5,506.965742574431,2.49571131026551,NaN,1.51
90,79,1,2,513.176867736159,2.00113695858727,NaN,1.34
91,18,1,1.5,518.803417957975,1.49106660762845,NaN,1.29
92,127,1,1,523.915915108262,0.995059717395634,NaN,1.32
93,15,1,1.5,528.917503923751,1.49323165772694,NaN,1.67
94,7,1,1,534.023319796161,1.00405998107635,NaN,1.31
95,2,1,2,538.987506917595,1.98975303269435,NaN,1.58
96,42,1,1.5,544.712973121831,1.49771774220244,NaN,1.4
97,168,1,1.5,550.153715337761,1.48963933683535,NaN,1.6
98,38,1,2,555.35586247747,1.98764563532222,NaN,1.34
99,94,1,1,561.15392487762,0.989286835774692,NaN,1.51
100,173,1,1.5,566.22224130973,1.48741458543736,NaN,1.74
101,170,1,1.5,571.784503181289,1.4914927110276,NaN,1.74
102,167,1,2.5,577.171632458894,2.48751057576374,NaN,1.47
103,48,1,1,583.26098189324,0.998172086657178,NaN,1.3
104,66,1,1.5,587.915510075912,1.49330218720388,NaN,1.32
105,115,1,2.5,593.14143911155,2.5005017543117,NaN,1.31
106,44,1,1,599.277891408602,0.997268372855615,NaN,1.33
107,71,1,2,604.062744603398,1.99579954527508,NaN,1.41
108,107,1,1,609.982839387992,0.991872428857278,NaN,1.62
109,106,1,2,614.726280366086,1.99827539331909,NaN,1.37
110,153,1,2.5,620.426746650801,2.49788367669862,NaN,1.28
111,62,1,1,626.81199065499,0.995597029099372,NaN,1.59
112,14,1,1.5,631.724155116854,1.49982777345485,NaN,1.58
113,95,1,1,637.189740097412,1.00100409392871,NaN,1.66
114,125,1,2,642.252099568892,1.98838370728117,NaN,1.68
115,5,1,2.5,648.02376814122,2.4995965772423,NaN,1.37
116,67,1,1,654.10456536429,1.00211968881558,NaN,1.28
117,119,1,1,658.980657949302,0.992431689567638,NaN,1.57
118,21,1,1.5,664.03909176763,1.50046429467147,NaN,1.73
119,181,2,1,669.457613979001,0,0,1.7
120,89,1,1.5,674.04471715192,1.49447572747067,NaN,1.26
121,86,1,1.5,679.368993544358,1.50345433479742,NaN,1.49
122,52,1,2,684.534596171918,1.98807905505691,NaN,1.29
123,154,1,2.5,690.229164026689,2.492717465645,NaN,1.29
124,195,2,2.5,696.677943091198,0,0,1.61
125,76,1,1,702.778400479249,0.993408859379997,NaN,1.32
126,37,1,2.5,707.458776983744,2.4958830978303,NaN,1.26
127,158,1,1.5,713.703031977362,1.50166563701441,NaN,1.41
128,165,1,2,718.99312674147,1.99461693275225,NaN,1.41
129,8,1,1.5,724.635856308335,1.50172387504699,NaN,1.31
130,120,1,2,729.854506175134,1.99946298094983,NaN,1.34
131,12,1,2.5,735.98069277506,2.48999081360853,NaN,1.7
132,101,1,1.5,742.20562532576,1.49823134897724,NaN,1.4
133,160,1,1.5,760.138155832685,1.49836889609105,NaN,1.59
134,182,2,2.5,765.461644694735,0,0,1.48
135,192,2,2,771.854911500139,0,0,1.62
136,139,1,2,777.789381128711,1.9964805498139,NaN,1.57
137,150,1,1,783.533474431309,1.00226806410683,NaN,1.45
