TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,110,1,1,275.046418897088,1.01297252085988,0.460827827516368,1.62
2,88,1,1.5,279.950212350512,1.50841002846937,0.428029974901619,1.51
3,174,1,1.5,285.103336501812,1.50514019347975,0.328137145184883,1.29
4,140,1,1,290.297213748232,1.01128653505748,0.577996963410442,1.38
5,143,1,1.5,294.960613018701,1.51473898680524,0.327213233159455,1.29
6,76,1,1,300.179051048407,1.01230146280705,0.494750353526797,1.39
7,126,1,1.5,304.877819438851,1.51327541884802,0.261652939193482,1.34
8,135,1,1,310.422582493608,1.00182938678245,0.445046988696049,1.72
9,64,1,1,315.189315046684,1.00171378803407,0.41160675822448,1.45
10,100,1,2,319.890017887077,2.0006104784552,0.761683082664604,1.3
11,107,1,1,325.479499220367,1.0111012844045,0.544962938162826,1.28
12,81,1,2.5,330.655621669585,2.50143225386546,0.378326902726258,1.72
13,73,1,2.5,337.159096070462,2.49791424738487,0.378301149081381,1.54
14,122,1,2.5,343.579212067221,2.51082033554667,0.444956558282684,1.48
15,85,1,2,349.96550269945,2.00777964946974,0.378241447449,1.48
16,22,1,2,355.632973094464,2.00703074516969,0.41160909946484,1.27
17,154,1,1,361.291409227765,0.998125836993495,0.678341945195825,1.33
18,27,1,2.5,366.304552073871,2.50153146393041,0.344967445051225,1.57
19,127,1,2.5,372.990802144108,2.4985124343284,0.411677580749711,1.74
20,49,1,1,379.326336438598,1.01290374692144,NaN,1.52
21,193,2,1.5,384.046923727067,0,0,1.43
22,185,2,1.5,389.161687238367,0,0,1.34
23,1,1,2,394.530529190586,2.00830818450868,0.528263455109482,1.48
24,79,1,1.5,400.514434918196,1.50737607814153,0.728262460081169,1.62
25,32,1,1.5,405.756658195278,1.49840561523069,0.678267610811417,1.39
26,3,1,1,411.201651628098,1.00333890158345,0.761537340444193,1.64
27,84,1,2.5,415.954074519344,2.50089171996933,0.661438481564801,1.31
28,132,1,1.5,422.546107219448,1.50842963635841,0.444943681460245,1.75
29,160,1,1.5,427.921653313791,1.49943576104306,0.361495139584804,1.52
30,17,1,1,433.46690978498,1.00411004766738,0.711658382577298,1.74
31,133,1,2,438.39587420749,2.00843548945977,0.528028745750817,1.53
32,176,1,2,444.321756094248,1.99885045092287,0.42828809666571,1.52
33,196,2,2.5,450.321478071942,0,0,1.62
34,101,1,1.5,456.650998304942,1.50290723537,0.461536052762312,1.5
35,184,2,2,462.208893084912,0,0,1.72
36,43,1,2.5,468.212874364353,2.50707581405004,0.478340891638254,1.57
37,104,1,1.5,474.652960264466,1.50029294771593,0.994999695639308,1.58
38,117,1,1,479.867182890683,1.00253292954767,0.661576029443495,1.41
