TrialOrder,TrialNumber,TrialType,SpeedUpTimeCalc,OnsetRelativeToExpStart,OnsetSpeedChange,ResponseTime,Prestim_Interval
1,96,1,2,0,0,0,0
2,11,1,1,0,0,0,0
3,91,1,1.5,0,0,0,0
4,156,1,2.5,0,0,0,0
5,89,1,2.5,0,0,0,0
6,39,1,2.5,0,0,0,0
7,103,1,1.5,0,0,0,0
8,151,1,1.5,0,0,0,0
9,167,1,2.5,0,0,0,0
10,75,1,1,0,0,0,0
11,145,1,2.5,0,0,0,0
12,172,1,1,0,0,0,0
13,90,1,1.5,0,0,0,0
14,70,1,1,0,0,0,0
15,1,1,2,0,0,0,0
16,150,1,1,0,0,0,0
17,111,1,2.5,0,0,0,0
18,177,1,1,0,0,0,0
19,142,1,2,0,0,0,0
20,65,1,2,0,0,0,0
21,171,1,2.5,0,0,0,0
22,128,1,2.5,0,0,0,0
23,109,1,1.5,0,0,0,0
24,25,1,1,0,0,0,0
25,54,1,2,0,0,0,0
26,21,1,2.5,0,0,0,0
27,114,1,2.5,0,0,0,0
28,158,1,2,0,0,0,0
29,118,1,2.5,0,0,0,0
30,8,1,2,0,0,0,0
31,2,1,2.5,0,0,0,0
32,94,1,1,0,0,0,0
33,198,2,2.5,0,0,0,0
34,127,1,2,0,0,0,0
35,140,1,1.5,0,0,0,0
36,126,1,2,0,0,0,0
37,130,1,1.5,0,0,0,0
38,16,1,1.5,0,0,0,0
39,186,2,2,0,0,0,0
40,152,1,2.5,0,0,0,0
41,121,1,2.5,0,0,0,0
42,185,2,2.5,0,0,0,0
43,190,2,1,0,0,0,0
44,61,1,1,0,0,0,0
45,163,1,2,0,0,0,0
46,56,1,1,0,0,0,0
47,63,1,1,0,0,0,0
48,84,1,2,0,0,0,0
49,176,1,1,0,0,0,0
50,124,1,2.5,0,0,0,0
51,82,1,2,0,0,0,0
52,95,1,2,0,0,0,0
53,60,1,2,0,0,0,0
54,64,1,1,0,0,0,0
55,31,1,2.5,0,0,0,0
56,160,1,1,0,0,0,0
57,169,1,2,0,0,0,0
58,83,1,2.5,0,0,0,0
59,41,1,2.5,0,0,0,0
60,194,2,1.5,0,0,0,0
61,183,2,2.5,0,0,0,0
62,188,2,2,0,0,0,0
63,6,1,1.5,0,0,0,0
64,71,1,1.5,0,0,0,0
65,80,1,1,0,0,0,0
66,93,1,2.5,0,0,0,0
67,86,1,2.5,0,0,0,0
68,175,1,2.5,0,0,0,0
69,165,1,1.5,0,0,0,0
70,164,1,2,0,0,0,0
71,117,1,2.5,0,0,0,0
72,106,1,2.5,0,0,0,0
73,155,1,2.5,0,0,0,0
74,5,1,2.5,0,0,0,0
75,59,1,1,0,0,0,0
76,79,1,2.5,0,0,0,0
77,149,1,2,0,0,0,0
78,51,1,2,0,0,0,0
79,192,2,1,0,0,0,0
80,42,1,2.5,0,0,0,0
81,57,1,2.5,0,0,0,0
82,101,1,1,0,0,0,0
83,18,1,1,0,0,0,0
84,87,1,1.5,0,0,0,0
85,159,1,2,0,0,0,0
86,187,2,1.5,0,0,0,0
87,22,1,1.5,0,0,0,0
88,46,1,1,0,0,0,0
89,141,1,1,0,0,0,0
90,76,1,1,0,0,0,0
91,166,1,2.5,0,0,0,0
92,147,1,2,0,0,0,0
93,182,2,1.5,0,0,0,0
94,20,1,2.5,0,0,0,0
95,55,1,1,0,0,0,0
96,189,2,1.5,0,0,0,0
97,3,1,1,0,0,0,0
98,72,1,2.5,0,0,0,0
99,49,1,2.5,0,0,0,0
100,174,1,1,0,0,0,0
101,14,1,1.5,0,0,0,0
102,153,1,1.5,0,0,0,0
103,48,1,2.5,0,0,0,0
104,74,1,1,0,0,0,0
105,50,1,2.5,0,0,0,0
106,107,1,2,0,0,0,0
107,104,1,1.5,0,0,0,0
108,73,1,2,0,0,0,0
109,146,1,1,0,0,0,0
110,125,1,1,0,0,0,0
111,135,1,1.5,0,0,0,0
112,139,1,1.5,0,0,0,0
113,133,1,2,0,0,0,0
114,66,1,1.5,0,0,0,0
115,148,1,1.5,0,0,0,0
116,131,1,2.5,0,0,0,0
117,37,1,1,0,0,0,0
118,4,1,2,0,0,0,0
119,134,1,2,0,0,0,0
120,184,2,2.5,0,0,0,0
121,38,1,2.5,0,0,0,0
122,85,1,2,0,0,0,0
123,45,1,1.5,0,0,0,0
124,99,1,1,0,0,0,0
125,58,1,2,0,0,0,0
126,23,1,1,0,0,0,0
127,78,1,2.5,0,0,0,0
128,112,1,2,0,0,0,0
129,102,1,1.5,0,0,0,0
130,7,1,1.5,0,0,0,0
131,81,1,1.5,0,0,0,0
132,193,2,1,0,0,0,0
133,13,1,1.5,0,0,0,0
134,157,1,1,0,0,0,0
135,27,1,2.5,0,0,0,0
136,180,1,1,0,0,0,0
137,29,1,1,0,0,0,0
138,178,1,1,0,0,0,0
139,12,1,1,0,0,0,0
140,173,1,1,0,0,0,0
141,68,1,1,0,0,0,0
142,97,1,1,0,0,0,0
143,129,1,2,0,0,0,0
144,110,1,1,0,0,0,0
145,88,1,1,0,0,0,0
146,15,1,2,0,0,0,0
147,33,1,1,0,0,0,0
148,77,1,1,0,0,0,0
149,138,1,1,0,0,0,0
150,34,1,1,0,0,0,0
151,119,1,2.5,0,0,0,0
152,144,1,1,0,0,0,0
153,98,1,2,0,0,0,0
154,120,1,2,0,0,0,0
155,196,2,2.5,0,0,0,0
156,168,1,2.5,0,0,0,0
157,32,1,2.5,0,0,0,0
158,136,1,2.5,0,0,0,0
159,92,1,1.5,0,0,0,0
160,52,1,1.5,0,0,0,0
161,35,1,2,0,0,0,0
162,19,1,2.5,0,0,0,0
163,179,1,1.5,0,0,0,0
164,123,1,2.5,0,0,0,0
165,195,2,2,0,0,0,0
166,26,1,1.5,0,0,0,0
167,170,1,2.5,0,0,0,0
168,105,1,2,0,0,0,0
169,115,1,2,0,0,0,0
170,181,2,1.5,0,0,0,0
171,67,1,1.5,0,0,0,0
172,197,2,1,0,0,0,0
173,161,1,2.5,0,0,0,0
174,40,1,1.5,0,0,0,0
175,44,1,2,0,0,0,0
176,113,1,2,0,0,0,0
177,24,1,2,0,0,0,0
178,30,1,2.5,0,0,0,0
179,62,1,1.5,0,0,0,0
180,36,1,1.5,0,0,0,0
181,154,1,2,0,0,0,0
182,47,1,2.5,0,0,0,0
183,10,1,2.5,0,0,0,0
184,143,1,2.5,0,0,0,0
185,69,1,1,0,0,0,0
186,100,1,2.5,0,0,0,0
187,9,1,1.5,0,0,0,0
188,17,1,2,0,0,0,0
189,28,1,1.5,0,0,0,0
190,132,1,1.5,0,0,0,0
191,191,2,1,0,0,0,0
192,116,1,1,0,0,0,0
193,53,1,2,0,0,0,0
194,122,1,1.5,0,0,0,0
195,137,1,1,0,0,0,0
196,43,1,1.5,0,0,0,0
197,162,1,2,0,0,0,0
198,108,1,2.5,0,0,0,0
